#Rmin	Rmax	Flux	stat	trig	acc.	unf.	scale	syst.	10^x	R	E	Flux_true	err_tot
1	1.16	6.269	0.008	0.012	0.249	0.087	0.015	0.268	2	1.077032961	1.428231074	626.9	26.81193764
1.16	1.33	6.625	0.004	0.011	0.206	0.086	0.013	0.226	2	1.242095004	1.5564845	662.5	22.60353955
1.33	1.51	6.432	0.004	0.007	0.158	0.077	0.008	0.177	2	1.417145017	1.69945403	643.2	17.7045192
1.51	1.71	6.059	0.003	0.006	0.134	0.068	0.004	0.151	2	1.606891409	1.860630001	605.9	15.10297984
1.71	1.92	5.544	0.002	0.005	0.11	0.059	0.002	0.126	2	1.811960264	2.040353891	554.4	12.6015872
1.92	2.15	4.993	0.002	0.004	0.09	0.051	0.001	0.104	2	2.031748016	2.237821262	499.3	10.4019229
2.15	2.4	4.42	0.002	0.004	0.073	0.043	0.003	0.085	2	2.271563338	2.457609408	442	8.502352616
2.4	2.67	3.878	0.001	0.003	0.059	0.037	0.004	0.069	2	2.531402773	2.699600711	387.8	6.9007246
2.67	2.97	3.359	0.001	0.003	0.046	0.031	0.004	0.056	2	2.816007812	2.968121291	335.9	5.600892786
2.97	3.29	2.882	0.001	0.002	0.037	0.026	0.004	0.046	2	3.125907868	3.263609045	288.2	4.601086828
3.29	3.64	2.453	0.001	0.002	0.03	0.021	0.004	0.037	2	3.460577986	3.585448926	245.3	3.701351105
3.64	4.02	2.068	0.001	0.002	0.024	0.018	0.004	0.03	2	3.825284303	3.938609399	206.8	3.001666204
4.02	4.43	1.731	0.001	0.001	0.019	0.015	0.004	0.025	2	4.220023697	4.323013301	173.1	2.501999201
4.43	4.88	1.438	0	0.001	0.016	0.012	0.003	0.02	2	4.649559119	4.743231388	143.8	2
4.88	5.37	1.184	0	0.001	0.012	0.01	0.003	0.016	2	5.119140553	5.204367781	118.4	1.6
5.37	5.9	9.691	0.003	0.007	0.099	0.079	0.026	0.13	1	5.628765406	5.706386247	96.91	1.300346108
5.9	6.47	7.903	0.002	0.006	0.079	0.063	0.023	0.104	1	6.178430221	6.249227472	79.03	1.04019229
6.47	7.09	6.42	0.002	0.005	0.063	0.051	0.019	0.083	1	6.772909272	6.837553949	64.2	0.830240929
7.09	7.76	5.197	0.002	0.004	0.05	0.041	0.016	0.067	1	7.417438911	7.476512824	51.97	0.670298441
7.76	8.48	4.2	0.001	0.003	0.04	0.033	0.014	0.054	1	8.112015779	8.166066617	42	0.540092585
