#   1H  PAMELA(2006/07-2009/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.800000e-01 1.249092e-01 4.402977e-01 1.704444e+03 6.203698e+02 8.606525e+02 0.000000e+00 0.000000e+00 6.203698e+02 8.606525e+02
5.600000e-01 4.402977e-01 6.975624e-01 1.580303e+03 6.625239e+02 6.625239e+02 0.000000e+00 0.000000e+00 6.625239e+02 6.625239e+02
8.100000e-01 6.975624e-01 9.424870e-01 1.301550e+03 3.763127e+02 3.763127e+02 0.000000e+00 0.000000e+00 3.763127e+02 3.763127e+02
1.070000e+00 9.424870e-01 1.207714e+00 1.032143e+03 2.457551e+02 2.457551e+02 0.000000e+00 0.000000e+00 2.457551e+02 2.457551e+02
1.340000e+00 1.207714e+00 1.481078e+00 8.135714e+02 1.722504e+02 1.722504e+02 0.000000e+00 0.000000e+00 1.722504e+02 1.722504e+02
1.630000e+00 1.481078e+00 1.807043e+00 6.521084e+02 1.007327e+02 1.007327e+02 0.000000e+00 0.000000e+00 1.007327e+02 1.007327e+02
2.030000e+00 1.807043e+00 2.195488e+00 4.724771e+02 5.729568e+01 5.729568e+01 0.000000e+00 0.000000e+00 5.729568e+01 5.729568e+01
2.420000e+00 2.195488e+00 2.637040e+00 3.615514e+02 4.129286e+01 4.129286e+01 0.000000e+00 0.000000e+00 4.129286e+01 4.129286e+01
2.900000e+00 2.637040e+00 3.160564e+00 2.673333e+02 3.057807e+01 3.057807e+01 0.000000e+00 0.000000e+00 3.057807e+01 3.057807e+01
3.470000e+00 3.160564e+00 3.776042e+00 1.941038e+02 2.093599e+01 2.093599e+01 0.000000e+00 0.000000e+00 2.093599e+01 2.093599e+01
4.140000e+00 3.776042e+00 4.503231e+00 1.400000e+02 1.372257e+01 1.372257e+01 0.000000e+00 0.000000e+00 1.372257e+01 1.372257e+01
4.930000e+00 4.503231e+00 5.361986e+00 9.825000e+01 9.169303e+00 9.169303e+00 0.000000e+00 0.000000e+00 9.169303e+00 9.169303e+00
5.900000e+00 5.361986e+00 6.421779e+00 6.716312e+01 6.340237e+00 6.340237e+00 0.000000e+00 0.000000e+00 6.340237e+00 6.340237e+00
7.000000e+00 6.421779e+00 7.613357e+00 4.644295e+01 4.569138e+00 4.569138e+00 0.000000e+00 0.000000e+00 4.569138e+00 4.569138e+00
8.400000e+00 7.613357e+00 9.205216e+00 3.065089e+01 3.215390e+00 3.215390e+00 0.000000e+00 0.000000e+00 3.215390e+00 3.215390e+00
1.010000e+01 9.205216e+00 1.109835e+01 2.000000e+01 2.032444e+00 2.032444e+00 0.000000e+00 0.000000e+00 2.032444e+00 2.032444e+00
1.230000e+01 1.109835e+01 1.369185e+01 1.236264e+01 1.372039e+00 1.372039e+00 0.000000e+00 0.000000e+00 1.372039e+00 1.372039e+00
1.530000e+01 1.369185e+01 1.718603e+01 7.234042e+00 9.007214e-01 9.007214e-01 0.000000e+00 0.000000e+00 9.007214e-01 9.007214e-01
1.960000e+01 1.718603e+01 2.238061e+01 3.887701e+00 5.148155e-01 5.148155e-01 0.000000e+00 0.000000e+00 5.148155e-01 5.148155e-01
2.620000e+01 2.238061e+01 3.077561e+01 1.836957e+00 2.543782e-01 2.543782e-01 0.000000e+00 0.000000e+00 2.543782e-01 2.543782e-01
3.800000e+01 3.077561e+01 4.757080e+01 6.971429e-01 1.186934e-01 1.186934e-01 0.000000e+00 0.000000e+00 1.186934e-01 1.186934e-01
6.740000e+01 4.757080e+01 9.906613e+01 1.497006e-01 3.739827e-02 3.739827e-02 0.000000e+00 0.000000e+00 3.739827e-02 3.739827e-02
1.289000e+02 9.906613e+01 1.790642e+02 2.795031e-02 1.783144e-02 2.658636e-02 0.000000e+00 0.000000e+00 1.783144e-02 2.658636e-02
